Metropolitan/Nonmetropolitan,County,"Violent crime","Murder and nonnegligent manslaughter","Forcible rape",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson
Metropolitan County,Anderson,735,8,50,108,569,"6,895","1,926","4,230",739,26
Metropolitan County,Beaufort,671,5,42,81,543,"2,829",693,"1,988",148,8
Metropolitan County,Calhoun,33,2,5,4,22,277,99,155,23,1
Metropolitan County,Charleston,556,7,17,74,458,"1,704",487,"1,061",156,5
Metropolitan County,Chester,156,2,16,10,128,572,169,375,28,3
Metropolitan County,Dorchester,321,5,30,37,249,"2,003",534,"1,293",176,1
Metropolitan County,Fairfield,144,0,6,17,121,556,146,369,41,5
Metropolitan County,Florence,234,2,12,54,166,"2,179",608,"1,364",207,3
Metropolitan County,Greenville,"2,110",23,204,360,"1,523","11,055","2,913","7,073","1,069",82
Metropolitan County,Lancaster,300,1,35,38,226,"1,998",509,"1,396",93,10
Metropolitan County,Laurens,241,3,15,20,203,"1,304",418,700,186,6
Metropolitan County,Lexington,518,13,64,52,389,"4,355",868,"3,050",437,10
Metropolitan County,Pickens,230,5,18,17,190,"1,746",586,995,165,8
Metropolitan County,Richland,"1,983",21,135,277,"1,550","8,188","1,590","5,666",932,34
Metropolitan County,Saluda,34,0,2,1,31,214,96,101,17,3
Metropolitan County,Spartanburg,659,7,84,110,458,"5,534","1,540","3,557",437,36
Metropolitan County,Sumter,395,6,39,26,324,"2,132",829,"1,147",156,11
Metropolitan County,Union,95,1,16,9,69,483,149,319,15,3
Metropolitan County,York,440,5,34,38,363,"2,122",580,"1,407",135,13
Nonmetropolitan County,Abbeville,33,1,2,0,30,306,99,189,18,2
Nonmetropolitan County,Bamberg,23,0,2,2,19,190,69,105,16,1
Nonmetropolitan County,Barnwell,99,1,8,4,86,367,102,246,19,0
Nonmetropolitan County,Chesterfield,98,0,5,4,89,829,245,517,67,4
Nonmetropolitan County,Clarendon,127,7,10,14,96,704,223,431,50,8
Nonmetropolitan County,Colleton,270,2,18,20,230,886,244,565,77,7
Nonmetropolitan County,Dillon,155,5,5,27,118,866,288,524,54,9
Nonmetropolitan County,Greenwood,141,0,20,11,110,"1,308",255,997,56,4
Nonmetropolitan County,Hampton,43,2,2,3,36,227,81,128,18,3
Nonmetropolitan County,Lee,68,3,7,5,53,419,145,226,48,6
Nonmetropolitan County,Marion,88,0,9,9,70,748,286,419,43,0
Nonmetropolitan County,Newberry,56,1,9,3,43,356,90,243,23,2
Nonmetropolitan County,Oconee,281,3,62,7,209,"1,629",441,"1,107",81,7
Nonmetropolitan County,Orangeburg,345,5,25,37,278,"2,713",889,"1,418",406,14
